eta,twist
1.39E-20,3.78E-01
6.77E-03,2.93E-01
1.57E-02,1.65E-01
2.76E-02,-7.65E-03
4.32E-02,-3.00E-01
6.39E-02,-8.21E-01
8.61E-02,-1.43E+00
1.08E-01,-1.82E+00
1.30E-01,-1.82E+00
1.53E-01,-1.64E+00
1.75E-01,-1.58E+00
1.97E-01,-1.63E+00
2.19E-01,-1.78E+00
2.41E-01,-1.97E+00
2.63E-01,-2.15E+00
2.85E-01,-2.33E+00
3.07E-01,-2.51E+00
3.29E-01,-2.65E+00
3.51E-01,-2.75E+00
3.73E-01,-2.82E+00
3.95E-01,-2.91E+00
4.16E-01,-2.97E+00
4.38E-01,-3.00E+00
4.59E-01,-3.02E+00
4.81E-01,-3.07E+00
5.02E-01,-3.13E+00
5.23E-01,-3.22E+00
5.44E-01,-3.33E+00
5.65E-01,-3.46E+00
5.85E-01,-3.59E+00
6.06E-01,-3.74E+00
6.26E-01,-3.88E+00
6.46E-01,-4.04E+00
6.66E-01,-4.20E+00
6.86E-01,-4.34E+00
7.06E-01,-4.47E+00
7.25E-01,-4.62E+00
7.45E-01,-4.86E+00
7.64E-01,-5.12E+00
7.83E-01,-5.42E+00
8.02E-01,-5.70E+00
8.20E-01,-5.97E+00
8.39E-01,-6.25E+00
8.57E-01,-6.51E+00
8.75E-01,-6.76E+00
8.92E-01,-7.01E+00
9.10E-01,-7.25E+00
9.27E-01,-7.48E+00
9.44E-01,-7.65E+00
9.60E-01,-7.82E+00
9.71E-01,-7.90E+00
9.80E-01,-7.97E+00
9.85E-01,-8.00E+00
9.90E-01,-8.02E+00
9.93E-01,-8.03E+00
9.95E-01,-8.04E+00
9.96E-01,-8.04E+00
9.97E-01,-8.04E+00
9.98E-01,-8.03E+00
9.99E-01,-8.03E+00
9.99E-01,-8.03E+00
1.00E+00,-8.03E+00
1.00E+00,-8.03E+00
1.00E+00,-8.03E+00
1.00E+00,-8.03E+00
