USkin thickness,LSkin thickness,FSpar thickness,RSpar thickness
0.012093379,0.022930684,0.01200288,0.007605066
0.009274469,0.022756166,0.012944154,0.007936609
0.013666085,0.022695938,0.012755354,0.008642807
0.010862336,0.026334466,0.011165384,0.010935055
0.010726259,0.024210678,0.012084255,0.010143397
0.012735498,0.022191647,0.011865587,0.009782596
0.009247435,0.019380354,0.011064474,0.009066103
0.009802303,0.018323941,0.010188248,0.008441048
0.010925084,0.016864788,0.00987662,0.008319598
0.009313218,0.015062886,0.009848294,0.008656996
0.008053349,0.014034324,0.009377283,0.00791387
0.006461479,0.012455339,0.008442325,0.009019339
0.005717026,0.011527499,0.007678508,0.008354407
0.005626086,0.009849519,0.007356891,0.008564526
0.00537359,0.008222241,0.008515039,0.008368209
0.005068807,0.006762318,0.006293801,0.007572909
0.004781652,0.005574827,0.005490613,0.006954076
0.004582491,0.004183663,0.004724205,0.006004054
0.004246347,0.003309094,0.004207314,0.004407383
0.003699313,0.002774203,0.003728825,0.003460434
0.002842269,0.002244528,0.003063231,0.002827927
0.001734582,0.002184618,0.002143685,0.001942486
