eta,twist
1.3887E-20,3.4895E-01
6.7685E-03,2.9587E-01
1.5720E-02,2.3638E-01
2.7558E-02,1.5607E-01
4.3214E-02,2.6286E-02
6.3919E-02,-1.9695E-01
8.6074E-02,-4.5349E-01
1.0825E-01,-6.4193E-01
1.3043E-01,-7.0380E-01
1.5262E-01,-7.0464E-01
1.7481E-01,-7.4182E-01
1.9698E-01,-8.1932E-01
2.1913E-01,-9.3398E-01
2.4125E-01,-1.0605E+00
2.6333E-01,-1.1896E+00
2.8538E-01,-1.3182E+00
3.0737E-01,-1.4465E+00
3.2930E-01,-1.5661E+00
3.5116E-01,-1.6755E+00
3.7295E-01,-1.7772E+00
3.9466E-01,-1.8790E+00
4.1628E-01,-1.9800E+00
4.3780E-01,-2.0743E+00
4.5923E-01,-2.1632E+00
4.8054E-01,-2.2646E+00
5.0173E-01,-2.3769E+00
5.2280E-01,-2.4972E+00
5.4375E-01,-2.6237E+00
5.6455E-01,-2.7617E+00
5.8522E-01,-2.9031E+00
6.0574E-01,-3.0557E+00
6.2611E-01,-3.2065E+00
6.4631E-01,-3.3613E+00
6.6636E-01,-3.5120E+00
6.8623E-01,-3.6581E+00
7.0593E-01,-3.7902E+00
7.2545E-01,-3.9238E+00
7.4479E-01,-4.0567E+00
7.6395E-01,-4.1812E+00
7.8291E-01,-4.3023E+00
8.0168E-01,-4.4164E+00
8.2025E-01,-4.5223E+00
8.3861E-01,-4.6317E+00
8.5678E-01,-4.7279E+00
8.7473E-01,-4.8120E+00
8.9247E-01,-4.8865E+00
9.1000E-01,-4.9541E+00
9.2732E-01,-5.0170E+00
9.4442E-01,-5.0742E+00
9.6016E-01,-5.1216E+00
9.7147E-01,-5.1497E+00
9.7959E-01,-5.1709E+00
9.8542E-01,-5.1854E+00
9.8961E-01,-5.1945E+00
9.9261E-01,-5.1992E+00
9.9477E-01,-5.2012E+00
9.9633E-01,-5.2018E+00
9.9744E-01,-5.2016E+00
9.9824E-01,-5.2013E+00
9.9882E-01,-5.2010E+00
9.9923E-01,-5.2007E+00
9.9952E-01,-5.2005E+00
9.9974E-01,-5.2003E+00
9.9989E-01,-5.2001E+00
1.0000E+00,-5.2000E+00
