eta,lift
0.000E+00,1.348E+00
2.000E-02,1.332E+00
4.000E-02,1.323E+00
6.000E-02,1.317E+00
8.000E-02,1.311E+00
1.000E-01,1.308E+00
1.200E-01,1.308E+00
1.400E-01,1.308E+00
1.600E-01,1.307E+00
1.800E-01,1.303E+00
2.000E-01,1.296E+00
2.200E-01,1.289E+00
2.400E-01,1.279E+00
2.600E-01,1.268E+00
2.800E-01,1.257E+00
3.000E-01,1.244E+00
3.200E-01,1.230E+00
3.400E-01,1.215E+00
3.600E-01,1.198E+00
3.800E-01,1.179E+00
4.000E-01,1.158E+00
4.200E-01,1.136E+00
4.400E-01,1.112E+00
4.600E-01,1.088E+00
4.800E-01,1.063E+00
5.000E-01,1.039E+00
5.200E-01,1.015E+00
5.400E-01,9.925E-01
5.600E-01,9.703E-01
5.800E-01,9.487E-01
6.000E-01,9.274E-01
6.200E-01,9.061E-01
6.400E-01,8.850E-01
6.600E-01,8.636E-01
6.800E-01,8.423E-01
7.000E-01,8.204E-01
7.200E-01,7.985E-01
7.400E-01,7.763E-01
7.600E-01,7.543E-01
7.800E-01,7.319E-01
8.000E-01,7.099E-01
8.200E-01,6.871E-01
8.400E-01,6.632E-01
8.600E-01,6.365E-01
8.800E-01,6.058E-01
9.000E-01,5.694E-01
9.200E-01,5.250E-01
9.400E-01,4.697E-01
9.600E-01,3.948E-01
9.800E-01,2.916E-01
1.000E+00,0.000E+00
