USkin thickness,LSkin thickness,FSpar thickness,RSpar thickness
0.009757714,0.009398832,0.006447145,0.006566824
0.009275802,0.009063262,0.00515428,0.005761252
0.010268153,0.008222492,0.010356074,0.013008265
0.012193678,0.008676502,0.012257038,0.010718184
0.010055757,0.008100536,0.012111722,0.009909205
0.009273097,0.008175311,0.011632882,0.00914164
0.00894074,0.007934373,0.011177317,0.008635693
0.008682268,0.008014893,0.010736236,0.008354095
0.008487887,0.009486902,0.010444234,0.008340944
0.008205688,0.007728359,0.010406584,0.008234543
0.006995229,0.007407734,0.009919973,0.007529058
0.005630408,0.007194028,0.009085165,0.007021579
0.005376706,0.007068645,0.008277166,0.006057266
0.005186692,0.006852253,0.00782776,0.006011806
0.004897382,0.006534341,0.007529327,0.005793012
0.004545337,0.006145282,0.006882242,0.00517806
0.004161097,0.005713359,0.006058492,0.004593915
0.003797408,0.005278145,0.005360142,0.004092687
0.003384945,0.004757822,0.004755343,0.003748602
0.003178502,0.003981127,0.004133657,0.003351073
0.002675024,0.002932876,0.003377129,0.002814831
0.002680814,0.002125256,0.00236769,0.001870112
