eta,lift
0,1.350597467
0.020000005,1.334767597
0.040000005,1.320382893
0.05999999,1.301158135
0.08000002,1.291469655
0.1,1.296340911
0.12000003,1.307131341
0.14000001,1.312789487
0.16000004,1.313600729
0.18000002,1.309778912
0.20000005,1.302216707
0.22000003,1.291840269
0.24000006,1.279112295
0.26000004,1.264217712
0.28000002,1.248213569
0.30000005,1.232846395
0.32000003,1.218223494
0.34000006,1.204084599
0.36000004,1.190751618
0.38000007,1.178614192
0.40000005,1.167864856
0.42000008,1.157994493
0.44000006,1.146947601
0.46000009,1.133378706
0.48000007,1.117212467
0.50000005,1.099200005
0.51999988,1.079050614
0.54000001,1.05698651
0.56000014,1.033713914
0.580000271,1.009777713
0.5999999,0.985336959
0.62000003,0.960622239
0.64000016,0.935685303
0.660000291,0.910441679
0.67999992,0.884746772
0.70000005,0.857574736
0.72000018,0.827602926
0.740000311,0.794601515
0.75999994,0.759275356
0.78000007,0.721598347
0.8000002,0.681999774
0.820000331,0.640765248
0.83999996,0.598592847
0.86000009,0.555254343
0.880000221,0.511533506
0.900000351,0.467450805
0.91999998,0.422544002
0.94000011,0.37400594
0.960000241,0.318287931
0.980000371,0.241814915
1,0
