eta,twist
1.39E-20,0.114935192
0.006768508,0.175669377
0.01571986,0.094341588
0.027558023,-0.032669206
0.043213993,-0.235721008
0.063919014,-0.576496066
0.08607428,-0.962520089
0.108248452,-1.233906949
0.130433654,-1.292471047
0.152621991,-1.243892832
0.174805567,-1.233761993
0.196976491,-1.275036005
0.219126891,-1.362739198
0.241248923,-1.471632466
0.263334784,-1.5813136
0.285376723,-1.691513706
0.307367049,-1.796487679
0.329298145,-1.876303291
0.351162477,-1.919716809
0.372952603,-1.942454376
0.394661186,-1.956878047
0.416280999,-1.958240589
0.43780494,-1.930859996
0.459226036,-1.901114457
0.480537453,-1.883531446
0.501732506,-1.885453363
0.522804662,-1.899491705
0.543747555,-1.926355951
0.564554984,-1.976516479
0.585220927,-2.031243898
0.605739542,-2.100624498
0.626105174,-2.171455988
0.646312361,-2.243810656
0.666355837,-2.31684929
0.686230536,-2.377106972
0.705931597,-2.431825623
0.725454366,-2.491754966
0.744794398,-2.597063268
0.763947459,-2.724161652
0.782909531,-2.881346001
0.801676808,-3.041995334
0.820245698,-3.220318064
0.838612828,-3.402199004
0.856775036,-3.594656938
0.874729378,-3.790993916
0.892473119,-3.969616845
0.91000374,-4.152967998
0.927318929,-4.320536925
0.944416585,-4.470995
0.960159719,-4.597572207
0.971466192,-4.676337605
0.979586325,-4.722466374
0.985418079,-4.758933834
0.989606353,-4.784908999
0.992614306,-4.80091722
0.994774572,-4.809883995
0.996326041,-4.814281626
0.997440281,-4.816139562
0.998240512,-4.816414803
0.998815225,-4.816185616
0.999227975,-4.815829812
0.999524405,-4.815469698
0.999737297,-4.815159693
0.999890193,-4.814899724
1,-4.814695017
