eta,lift
0.000E+00,1.476E+00
2.000E-02,1.446E+00
4.000E-02,1.426E+00
6.000E-02,1.400E+00
8.000E-02,1.387E+00
1.000E-01,1.394E+00
1.200E-01,1.407E+00
1.400E-01,1.412E+00
1.600E-01,1.409E+00
1.800E-01,1.401E+00
2.000E-01,1.388E+00
2.200E-01,1.372E+00
2.400E-01,1.354E+00
2.600E-01,1.334E+00
2.800E-01,1.312E+00
3.000E-01,1.291E+00
3.200E-01,1.270E+00
3.400E-01,1.249E+00
3.600E-01,1.228E+00
3.800E-01,1.206E+00
4.000E-01,1.186E+00
4.200E-01,1.166E+00
4.400E-01,1.145E+00
4.600E-01,1.121E+00
4.800E-01,1.096E+00
5.000E-01,1.070E+00
5.200E-01,1.042E+00
5.400E-01,1.014E+00
5.600E-01,9.842E-01
5.800E-01,9.546E-01
6.000E-01,9.247E-01
6.200E-01,8.947E-01
6.400E-01,8.643E-01
6.600E-01,8.340E-01
6.800E-01,8.036E-01
7.000E-01,7.722E-01
7.200E-01,7.388E-01
7.400E-01,7.031E-01
7.600E-01,6.665E-01
7.800E-01,6.287E-01
8.000E-01,5.911E-01
8.200E-01,5.540E-01
8.400E-01,5.174E-01
8.600E-01,4.814E-01
8.800E-01,4.459E-01
9.000E-01,4.107E-01
9.200E-01,3.747E-01
9.400E-01,3.368E-01
9.600E-01,2.922E-01
9.800E-01,2.246E-01
1.000E+00,0.000E+00
