eta,twist
1.39E-20,0.054734211
6.77E-03,0.037981239
1.57E-02,-0.008317073
2.76E-02,-0.067864794
4.32E-02,-0.13565202
6.39E-02,-0.194393029
8.61E-02,-0.235944775
1.08E-01,-0.317570226
1.30E-01,-0.471483701
1.53E-01,-0.627529685
1.75E-01,-0.699807367
1.97E-01,-0.719829005
2.19E-01,-0.70492361
2.41E-01,-0.689175211
2.63E-01,-0.685512092
2.85E-01,-0.683944351
3.07E-01,-0.668855165
3.29E-01,-0.650017291
3.51E-01,-0.604286696
3.73E-01,-0.541783672
3.95E-01,-0.440945958
4.16E-01,-0.332644909
4.38E-01,-0.218481601
4.59E-01,-0.107224422
4.81E-01,0.019973353
5.02E-01,0.139941735
5.23E-01,0.255199878
5.44E-01,0.356393022
5.65E-01,0.44397339
5.85E-01,0.519134424
6.06E-01,0.584088777
6.26E-01,0.644103482
6.46E-01,0.70324604
6.66E-01,0.772771087
6.86E-01,0.840955046
7.06E-01,0.920443893
7.25E-01,0.998971318
7.45E-01,1.09838371
7.64E-01,1.178950144
7.83E-01,1.232118735
8.02E-01,1.248501134
8.20E-01,1.215767892
8.39E-01,1.150828971
8.57E-01,1.0532492
8.75E-01,0.942007386
8.92E-01,0.824682618
9.10E-01,0.703111181
9.27E-01,0.58727419
9.44E-01,0.462896204
9.60E-01,0.368080327
9.71E-01,0.300279024
9.80E-01,2.57E-01
9.85E-01,2.24E-01
9.90E-01,2.00E-01
9.93E-01,1.84E-01
9.95E-01,1.72E-01
9.96E-01,1.63E-01
9.97E-01,1.56E-01
9.98E-01,1.51E-01
9.99E-01,1.47E-01
9.99E-01,1.44E-01
1.00E+00,1.42E-01
1.00E+00,1.41E-01
1.00E+00,1.40E-01
1.00E+00,1.40E-01
