eta,twist
0.000000,2.126946E-01
0.009901,2.054655E-01
0.019802,1.929278E-01
0.029703,1.769220E-01
0.039604,1.597185E-01
0.049505,1.420750E-01
0.059406,1.216097E-01
0.069307,9.817241E-02
0.079208,7.563093E-02
0.089109,5.143189E-02
0.099010,2.424166E-02
0.108911,-5.514442E-03
0.118812,-3.669940E-02
0.128713,-7.055416E-02
0.138614,-1.069974E-01
0.148515,-1.456228E-01
0.158416,-1.857469E-01
0.168317,-2.276371E-01
0.178218,-2.716477E-01
0.188119,-3.174527E-01
0.198020,-3.649881E-01
0.207921,-4.098006E-01
0.217822,-4.539784E-01
0.227723,-4.993264E-01
0.237624,-5.458342E-01
0.247525,-5.935308E-01
0.257426,-6.385197E-01
0.267326,-6.841121E-01
0.277228,-7.304601E-01
0.287129,-7.777337E-01
0.297030,-8.256135E-01
0.306931,-8.725660E-01
0.316831,-9.204601E-01
0.326733,-9.692146E-01
0.336634,-1.019160E+00
0.346535,-1.070882E+00
0.356436,-1.124662E+00
0.366000,-1.178280E+00
0.366336,-1.180196E+00
0.376238,-1.237937E+00
0.386139,-1.299244E+00
0.396040,-1.367509E+00
0.405941,-1.442685E+00
0.415841,-1.522055E+00
0.425743,-1.604545E+00
0.435644,-1.689818E+00
0.445544,-1.775282E+00
0.455446,-1.862919E+00
0.465346,-1.952128E+00
0.475248,-2.042704E+00
0.485149,-2.134084E+00
0.495049,-2.224502E+00
0.504951,-2.315870E+00
0.514851,-2.407997E+00
0.524753,-2.500967E+00
0.534654,-2.594171E+00
0.544554,-2.687326E+00
0.554456,-2.781024E+00
0.564356,-2.875107E+00
0.574257,-2.970044E+00
0.584159,-3.065243E+00
0.594059,-3.160816E+00
0.603961,-3.256651E+00
0.613861,-3.352770E+00
0.623762,-3.449716E+00
0.633664,-3.546213E+00
0.643564,-3.642738E+00
0.653465,-3.739036E+00
0.663366,-3.834987E+00
0.673267,-3.930932E+00
0.683169,-4.026894E+00
0.693069,-4.121814E+00
0.702970,-4.215685E+00
0.712871,-4.308521E+00
0.722771,-4.400585E+00
0.732671,-4.490926E+00
0.742571,-4.579315E+00
0.752479,-4.665905E+00
0.762379,-4.750998E+00
0.772279,-4.835680E+00
0.782179,-4.917739E+00
0.792079,-4.996819E+00
0.801979,-5.073727E+00
0.811879,-5.148229E+00
0.821786,-5.217834E+00
0.831686,-5.282658E+00
0.841586,-5.343592E+00
0.851486,-5.401049E+00
0.861386,-5.454723E+00
0.871286,-5.505608E+00
0.881186,-5.550052E+00
0.891086,-5.590171E+00
0.900993,-5.626826E+00
0.910893,-5.660467E+00
0.920793,-5.689087E+00
0.930693,-5.713540E+00
0.940593,-5.733767E+00
0.950493,-5.750854E+00
0.960393,-5.767092E+00
0.970300,-5.779064E+00
0.980200,-5.787987E+00
0.990100,-5.795925E+00
1.000000,-5.802615E+00
