eta,twist
0.000000,-1.007601E-01
0.009901,-9.754073E-02
0.019802,-9.180801E-02
0.029703,-8.429335E-02
0.039604,-7.600593E-02
0.049505,-6.722596E-02
0.059406,-5.703214E-02
0.069307,-4.546234E-02
0.079208,-3.464669E-02
0.089109,-2.328229E-02
0.099010,-1.075284E-02
0.108911,1.505371E-03
0.118812,9.147875E-03
0.128713,1.734751E-02
0.138614,2.634822E-02
0.148515,3.607330E-02
0.158416,4.547812E-02
0.168317,5.430211E-02
0.178218,6.398274E-02
0.188119,7.449739E-02
0.198020,8.579760E-02
0.207921,9.543790E-02
0.217822,1.044462E-01
0.227723,1.140378E-01
0.237624,1.242430E-01
0.247525,1.349798E-01
0.257426,1.441524E-01
0.267326,1.534389E-01
0.277228,1.631606E-01
0.287129,1.733699E-01
0.297030,1.837549E-01
0.306931,1.931710E-01
0.316831,2.029552E-01
0.326733,2.132466E-01
0.336634,2.241145E-01
0.346535,2.356193E-01
0.356436,2.476959E-01
0.366336,2.605732E-01
0.376238,2.745304E-01
0.386139,2.901201E-01
0.396040,3.081035E-01
0.405941,3.287401E-01
0.415841,3.512434E-01
0.425743,3.752821E-01
0.435644,4.004918E-01
0.445544,4.248758E-01
0.455446,4.500611E-01
0.465346,4.761343E-01
0.475248,5.029200E-01
0.485149,5.298553E-01
0.495049,5.554261E-01
0.504951,5.814064E-01
0.514851,6.079490E-01
0.524753,6.350045E-01
0.534654,6.615202E-01
0.544554,6.871856E-01
0.554456,7.131743E-01
0.564356,7.395263E-01
0.574257,7.663740E-01
0.584159,7.921507E-01
0.594059,8.174744E-01
0.603961,8.430884E-01
0.613861,8.690435E-01
0.623762,8.952771E-01
0.633664,9.195636E-01
0.643564,9.435798E-01
0.653465,9.677166E-01
0.663366,9.919577E-01
0.673267,1.015881E+00
0.683169,1.038382E+00
0.693069,1.060414E+00
0.702970,1.082325E+00
0.712871,1.104112E+00
0.722771,1.124663E+00
0.732671,1.143389E+00
0.742571,1.161464E+00
0.752479,1.179305E+00
0.762379,1.196685E+00
0.772279,1.212094E+00
0.782179,1.225796E+00
0.792079,1.238742E+00
0.801979,1.251264E+00
0.811879,1.263018E+00
0.821786,1.271339E+00
0.831686,1.277839E+00
0.841586,1.283556E+00
0.851486,1.288576E+00
0.861386,1.292199E+00
0.871286,1.292659E+00
0.881186,1.291821E+00
0.891086,1.290785E+00
0.900993,1.289450E+00
0.910893,1.286226E+00
0.920793,1.280503E+00
0.930693,1.274657E+00
0.940593,1.269866E+00
0.950493,1.265782E+00
0.960393,1.259404E+00
0.970300,1.252679E+00
0.980200,1.248146E+00
0.990100,1.247013E+00
1.000000,1.248727E+00
