eta,lift
0.000000000000000000e+00,1.347034999999999982e+00
1.010101000000000054e-02,1.342629999999999990e+00
2.020202000000000109e-02,1.345224999999999893e+00
3.030303000000000163e-02,1.350163000000000002e+00
4.040404000000000218e-02,1.355220000000000091e+00
5.050505000000000272e-02,1.356594999999999995e+00
6.060606000000000326e-02,1.356707000000000107e+00
7.070706999999999687e-02,1.355356999999999923e+00
8.080808000000000435e-02,1.353385000000000060e+00
9.090908999999999796e-02,1.351723999999999926e+00
1.010101000000000054e-01,1.350373999999999963e+00
1.111111000000000043e-01,1.349000999999999895e+00
1.212121000000000032e-01,1.347714000000000079e+00
1.313130999999999882e-01,1.346122000000000041e+00
1.414140999999999870e-01,1.343452000000000091e+00
1.515151999999999888e-01,1.340681999999999929e+00
1.616161999999999876e-01,1.337064000000000030e+00
1.717171999999999865e-01,1.333345000000000002e+00
1.818182000000000131e-01,1.329196000000000044e+00
1.919192000000000120e-01,1.324872000000000050e+00
2.020202000000000109e-01,1.320168000000000008e+00
2.121212000000000097e-01,1.315201000000000064e+00
2.222222000000000086e-01,1.309906000000000015e+00
2.323232000000000075e-01,1.304205000000000059e+00
2.424242000000000063e-01,1.298294999999999977e+00
2.525253000000000081e-01,1.291911000000000032e+00
2.626262999999999792e-01,1.285431999999999908e+00
2.727273000000000058e-01,1.278458000000000094e+00
2.828282999999999769e-01,1.271422999999999970e+00
2.929293000000000036e-01,1.263868999999999909e+00
3.030302999999999747e-01,1.256205000000000016e+00
3.131313000000000013e-01,1.248197000000000001e+00
3.232322999999999724e-01,1.240019999999999900e+00
3.333332999999999990e-01,1.231595999999999913e+00
3.434343000000000257e-01,1.222973000000000088e+00
3.535353999999999997e-01,1.214174000000000087e+00
3.636364000000000263e-01,1.205116999999999994e+00
3.737373999999999974e-01,1.195934999999999970e+00
3.838384000000000240e-01,1.186434999999999906e+00
3.939393999999999951e-01,1.176881000000000066e+00
4.040404000000000218e-01,1.167022000000000004e+00
4.141413999999999929e-01,1.157145000000000090e+00
4.242424000000000195e-01,1.146927999999999948e+00
4.343433999999999906e-01,1.136678999999999995e+00
4.444444000000000172e-01,1.126230999999999982e+00
4.545454999999999912e-01,1.115726999999999913e+00
4.646465000000000178e-01,1.104978999999999933e+00
4.747474999999999890e-01,1.094119000000000064e+00
4.848485000000000156e-01,1.083134000000000041e+00
4.949494999999999867e-01,1.072057999999999955e+00
5.050504999999999578e-01,1.060851999999999906e+00
5.151514999999999844e-01,1.049506000000000050e+00
5.252525000000000110e-01,1.038100000000000023e+00
5.353535000000000377e-01,1.026620000000000088e+00
5.454544999999999533e-01,1.015087000000000073e+00
5.555556000000000383e-01,1.003427999999999987e+00
5.656565999999999539e-01,9.917129000000000083e-01
5.757575999999999805e-01,9.798462000000000005e-01
5.858586000000000071e-01,9.679472999999999550e-01
5.959596000000000338e-01,9.558957999999999622e-01
6.060605999999999494e-01,9.438054000000000165e-01
6.161615999999999760e-01,9.315333000000000085e-01
6.262626000000000026e-01,9.192751000000000117e-01
6.363636000000000292e-01,9.069865999999999762e-01
6.464645999999999448e-01,8.946771999999999503e-01
6.565657000000000298e-01,8.822088999999999626e-01
6.666666999999999454e-01,8.697146000000000043e-01
6.767676999999999721e-01,8.570805000000000229e-01
6.868686999999999987e-01,8.444201999999999542e-01
6.969697000000000253e-01,8.316306999999999450e-01
7.070707000000000519e-01,8.187993000000000077e-01
7.171716999999999675e-01,8.058494999999999964e-01
7.272726999999999942e-01,7.928513000000000366e-01
7.373737000000000208e-01,7.797716999999999565e-01
7.474747000000000474e-01,7.665598999999999608e-01
7.575758000000000214e-01,7.532347999999999821e-01
7.676768000000000480e-01,7.397209999999999619e-01
7.777777999999999636e-01,7.261374999999999913e-01
7.878787999999999903e-01,7.122477999999999865e-01
7.979798000000000169e-01,6.983245999999999620e-01
8.080808000000000435e-01,6.839446999999999610e-01
8.181817999999999591e-01,6.695427999999999935e-01
8.282827999999999857e-01,6.546594999999999498e-01
8.383838000000000124e-01,6.396279999999999744e-01
8.484848000000000390e-01,6.240609000000000295e-01
8.585859000000000130e-01,6.080406000000000422e-01
8.686869000000000396e-01,5.915835999999999872e-01
8.787878999999999552e-01,5.740994000000000375e-01
8.888888999999999818e-01,5.563401000000000041e-01
8.989899000000000084e-01,5.368960999999999872e-01
9.090909000000000351e-01,5.169726000000000043e-01
9.191918999999999507e-01,4.953962000000000088e-01
9.292928999999999773e-01,4.725084999999999980e-01
9.393939000000000039e-01,4.486694999999999989e-01
9.494949999999999779e-01,4.220069000000000181e-01
9.595960000000000045e-01,3.922224999999999739e-01
9.696970000000000312e-01,3.541369999999999796e-01
9.797979999999999468e-01,3.104066999999999799e-01
9.898989999999999734e-01,3.222983999999999849e-01
1.000000000000000000e+00,-3.619303999999999809e-08
