x,z,cp
8.317142e-07,-1.6980599e-05,0.64932525
-5.892762e-06,0.000485151,0.593571
2.408153e-05,0.001004953,0.5331537
9.669416e-05,0.001570716,0.4627985
0.0002201717,0.002185121,0.3823877
0.0004031155,0.00284843,0.2909167
0.0006604863,0.003558259,0.1884167
0.00100974,0.004310684,0.08654397
0.001456081,0.005105346,-0.006390728
0.002001396,0.005941416,-0.099454
0.002655596,0.006815237,-0.203001
0.003441093,0.007718869,-0.3012313
0.004359619,0.008652589,-0.3769676
0.005411305,0.009625797,-0.4515256
0.006618103,0.01062476,-0.5308394
0.007989723,0.01164693,-0.5945426
0.00952831,0.01270555,-0.6503143
0.01125464,0.01378828,-0.7054572
0.01318243,0.01489753,-0.7499094
0.01531934,0.01603921,-0.7888322
0.0176881,0.01720482,-0.8234474
0.02030278,0.0184035,-0.8489669
0.02317963,0.01963805,-0.8713908
0.02634257,0.02090027,-0.8898378
0.02980846,0.02220162,-0.9035763
0.03360333,0.02353729,-0.9140528
0.03774861,0.02491378,-0.9206308
0.04227095,0.02633052,-0.9248971
0.04719709,0.02778912,-0.9269191
0.05255581,0.02929139,-0.9273968
0.05837713,0.03083757,-0.9266959
0.0646915,0.03242815,-0.9246761
0.07153134,0.03406471,-0.9215734
0.07892987,0.03574498,-0.9169773
0.08691955,0.03746965,-0.9101536
0.09553453,0.03923708,-0.9005092
0.1048078,0.04104782,-0.8873473
0.1147721,0.04289835,-0.8706105
0.1254598,0.04478789,-0.8511356
0.1368994,0.04671238,-0.831018
0.1491204,0.04866673,-0.8128574
0.1621469,0.05064398,-0.7987872
0.1760009,0.05263666,-0.7896837
0.190698,0.05463499,-0.7849227
0.2062509,0.05662917,-0.7825994
0.2226637,0.05860233,-0.7797116
0.2399353,0.06054083,-0.7731845
0.2580572,0.06242712,-0.7607451
0.2770113,0.06424802,-0.7418652
0.2967724,0.06599151,-0.718461
0.3173048,0.06764135,-0.6935616
0.3385656,0.06917691,-0.6693845
0.3605013,0.07058406,-0.646533
0.3830491,0.07184795,-0.624265
0.4061378,0.0729594,-0.601408
0.4296877,0.07391357,-0.5775034
0.4536122,0.07470473,-0.5530278
0.4778189,0.0753255,-0.5286761
0.5022102,0.07576883,-0.5048148
0.5266849,0.07602927,-0.4813082
0.5511399,0.076108,-0.4577806
0.575472,0.07601257,-0.4342665
0.5995813,0.07574251,-0.4107512
0.6233733,0.07529213,-0.3862972
0.6467611,0.0746596,-0.3595315
0.6696598,0.07385732,-0.3298795
0.6919976,0.07289334,-0.2974602
0.7137058,0.07179137,-0.2627059
0.7347236,0.0705922,-0.2264767
0.754998,0.06938001,-0.191718
0.7744877,0.06821198,-0.1628758
0.7931619,0.06709617,-0.1411574
0.8109993,0.06603511,-0.1244955
0.8279876,0.06502243,-0.1105635
0.8441222,0.06404426,-0.0978119
0.859406,0.06309355,-0.0853968
0.8738474,0.06216298,-0.07307423
0.8874609,0.06124534,-0.06080399
0.9002687,0.06035921,-0.04576592
0.9123097,0.05961146,-0.03575055
0.9235888,0.05886375,-0.0326514
0.9341154,0.0581112,-0.02561378
0.9437271,0.05738363,-0.01465582
0.9525246,0.05666699,-0.002417373
0.9605914,0.055965,0.0104309
0.9679978,0.05527884,0.02384717
0.974804,0.05461257,0.03796378
0.9809978,0.0539696,0.05303456
0.9856804,0.05345726,0.06687676
0.9892204,0.05305353,0.0768337
0.9918966,0.05273754,0.08432895
0.99392,0.05249265,0.09138761
0.9954496,0.05230652,0.09717308
0.9966061,0.05216094,0.09794098
0.9974805,0.05204892,0.1059511
0.9981416,0.05196353,0.1451256
0.9986414,0.05189845,0.04440164
0.9986631,0.05148524,-0.01998961
0.9986847,0.05107202,0.05753531
0.9987063,0.05065881,0.06515298
0.9987279,0.05024559,0.06386053
0.9987495,0.04983238,0.07527905
0.9987711,0.04941916,0.0649251
0.9987927,0.04900595,-0.06904882
0.9988143,0.04859273,0.05349818
0.9983092,0.04860434,0.2415684
0.9976413,0.04861902,0.1838721
0.9967579,0.04863766,0.1804228
0.9955897,0.04866003,0.1863358
0.9940446,0.04868687,0.1890407
0.9920011,0.04871687,0.1934236
0.9892986,0.04874452,0.2000031
0.9857243,0.04876961,0.2080336
0.9809969,0.04877451,0.2158086
0.9747449,0.04873636,0.2224721
0.9678766,0.04863665,0.2285429
0.9604054,0.04846791,0.2339019
0.952272,0.04821287,0.2373569
0.9434066,0.0478561,0.2389672
0.9337274,0.04738898,0.2395028
0.9231357,0.04679318,0.2416163
0.9117977,0.04607626,0.2450656
0.8997072,0.04521445,0.2406115
0.886859,0.04406166,0.2316804
0.8732209,0.04273904,0.2249373
0.858775,0.04124347,0.2169143
0.8435116,0.03956423,0.2081056
0.827426,0.03768242,0.1983018
0.8105199,0.03557769,0.1868416
0.7928025,0.03323354,0.1727979
0.7742901,0.0306357,0.1540423
0.7550065,0.02778063,0.1288321
0.7349818,0.02470272,0.0984672
0.7142515,0.02148476,0.06710904
0.6928571,0.01824829,0.03738824
0.6708494,0.01506252,0.0103539
0.6482889,0.01198257,-0.01204209
0.6252463,0.009057708,-0.02840058
0.6017955,0.006314709,-0.03865014
0.5780214,0.003758706,-0.04418347
0.5540116,0.001372424,-0.04695719
0.5298591,-0.0008649899,-0.04815553
0.505656,-0.002966816,-0.04810467
0.4814962,-0.004940763,-0.04694432
0.4574742,-0.006792555,-0.04568859
0.4336868,-0.008535479,-0.04620651
0.4102301,-0.0101836,-0.04891089
0.3871958,-0.01172198,-0.05210014
0.3646699,-0.0131191,-0.05407149
0.3427311,-0.01435366,-0.05388229
0.3214479,-0.01542022,-0.05100282
