eta,lift
0,1.255628
0.01010101,1.254577
0.02020202,1.258408
0.03030303,1.262849
0.04040404,1.266744
0.05050505,1.268057
0.06060606,1.268461
0.07070707,1.268514
0.08080808,1.268395
0.09090909,1.268403
0.1010101,1.268627
0.1111111,1.268069
0.1212121,1.266318
0.1313131,1.264339
0.1414141,1.261856
0.1515152,1.25927
0.1616162,1.257638
0.1717172,1.255976
0.1818182,1.254335
0.1919192,1.252653
0.2020202,1.250666
0.2121212,1.248473
0.2222222,1.246049
0.2323232,1.243396
0.2424242,1.240572
0.2525253,1.237545
0.2626263,1.234371
0.2727273,1.230949
0.2828283,1.227392
0.2929293,1.223651
0.3030303,1.219766
0.3131313,1.215691
0.3232323,1.211446
0.3333333,1.207075
0.3434343,1.20255
0.3535354,1.19787
0.3636364,1.192969
0.3737374,1.187937
0.3838384,1.182671
0.3939394,1.17729
0.4040404,1.171594
0.4141414,1.165774
0.4242424,1.159674
0.4343434,1.153417
0.4444444,1.146913
0.4545455,1.140232
0.4646465,1.133233
0.4747475,1.125999
0.4848485,1.118512
0.4949495,1.110776
0.5050505,1.102797
0.5151515,1.094536
0.5252525,1.086131
0.5353535,1.07752
0.5454545,1.068741
0.5555556,1.059677
0.5656566,1.050458
0.5757576,1.040932
0.5858586,1.031255
0.5959596,1.021226
0.6060606,1.011065
0.6161616,1.000579
0.6262626,0.9900105
0.6363636,0.9792755
0.6464646,0.9684106
0.6565657,0.9572218
0.6666667,0.9458786
0.6767677,0.934163
0.6868687,0.9222566
0.6969697,0.9099285
0.7070707,0.8973562
0.7171717,0.8843374
0.7272727,0.8710006
0.7373737,0.8572279
0.7474747,0.8429659
0.7575758,0.8282484
0.7676768,0.8129022
0.7777778,0.7972169
0.7878788,0.78064
0.7979798,0.76386
0.8080808,0.7458973
0.8181818,0.727865
0.8282828,0.7084751
0.8383838,0.6888342
0.8484848,0.6679518
0.8585859,0.6463519
0.8686869,0.6238886
0.8787879,0.6000179
0.8888889,0.5757974
0.8989899,0.5490416
0.9090909,0.521835
0.9191919,0.4920649
0.9292929,0.460966
0.9393939,0.428678
0.949495,0.3943382
0.959596,0.3575386
0.969697,0.3128421
0.979798,0.2628319
0.989899,0.2212165
1,-0.000000004672978
