eta,twist
7.2026836e-07,0.052232892178668174
0.019975286,0.05025852223513449
0.039950494,0.043870289823997655
0.059930418,0.03390147584486946
0.07991013,0.003053602301487518
0.09989177,-0.032506553786203325
0.11987271,-0.13092421233938575
0.1398523,-0.2907909120785288
0.15983301,-0.4584138042171148
0.17981522,-0.629076344152901
0.19979796,-0.7973204220122864
0.21977803,-0.961172900089099
0.23976098,-1.1180068092265265
0.25974467,-1.2668876694220976
0.27972955,-1.4054717426458279
0.29971573,-1.529781214714493
0.31970268,-1.63988844637509
0.3396909,-1.7361454113199946
0.35968128,-1.8194310813692622
0.37967277,-1.891022171040008
0.39966685,-1.9510659447128582
0.41966176,-1.9988034711839249
0.43965966,-2.0435321515741354
0.4596587,-2.073697729910919
0.47966114,-2.1030353538150415
0.49966472,-2.124379879892469
0.51967037,-2.143470556266555
0.53967756,-2.1602147641418976
0.5596851,-2.175176752040294
0.57969534,-2.192676224638589
0.5997076,-2.211400425624681
0.61971956,-2.2338082171461084
0.63973296,-2.261809678678085
0.6597467,-2.2874035641881623
0.6797612,-2.324049228339226
0.6997756,-2.364842949553377
0.71979034,-2.4101796589184716
0.73980534,-2.4605568751506524
0.7598205,-2.509900785013684
0.77983576,-2.565061909942718
0.799851,-2.61854167866292
0.81986636,-2.675422506604862
0.8398823,-2.727495102582684
0.85989755,-2.779989219451015
0.8799127,-2.8328300363238466
0.89992803,-2.8810620811968954
0.9199426,-2.9359995731497377
0.9399578,-2.9838226599626188
0.9599724,-3.0425164550037223
0.97998685,-3.1046912829741973
1.0,-3.166210537176418
