x,z
-6.1264676e-05,-0.0003888409
0.0001553579,0.0007858335
0.0003673306,0.001623706
0.0006449145,0.002511619
0.001002212,0.003442309
0.001455707,0.004404833
0.002010179,0.005396219
0.00266804,0.006418234
0.003438469,0.007462973
0.004341505,0.008510532
0.005379849,0.009565012
0.00655451,0.01063597
0.007884781,0.01169878
0.009380945,0.01275287
0.01104686,0.0138125
0.01290037,0.01485698
0.01495548,0.01588486
0.01722152,0.01690916
0.01971915,0.01790795
0.02246351,0.0188891
0.02547078,0.01985585
0.02876397,0.02079244
0.03236118,0.0217118
0.03628704,0.02259786
0.04056418,0.02345782
0.04521842,0.02428345
0.05027662,0.02507265
0.05576678,0.02581983
0.06171863,0.02651872
0.06816266,0.02716124
0.07513032,0.0277415
0.08265389,0.02824865
0.09076571,0.02867737
0.09949872,0.02901526
0.1088851,0.02925492
0.1189567,0.02938605
0.1297441,0.02939791
0.1412759,0.02928158
0.1535787,0.0290253
0.1666759,0.02861774
0.1805871,0.02804809
0.1953273,0.02730936
0.2109064,0.02639148
0.2273281,0.02528272
0.2445892,0.02396738
0.2626789,0.0224206
0.2815781,0.02061074
0.3012591,0.0185138
0.3216854,0.01611808
0.3428113,0.01341303
0.3645819,0.01039191
0.3869335,0.007052807
0.409794,0.003398663
0.4330835,-0.0005637428
0.4567146,-0.004823471
0.4805936,-0.009363459
0.5046218,-0.01416487
0.5286976,-0.0192064
0.5527182,-0.02446025
0.5765823,-0.02989278
0.6001931,-0.03549635
0.6234608,-0.04127589
0.6463018,-0.04722259
0.6686385,-0.05331565
0.6904001,-0.05952727
0.7115235,-0.06581906
0.731954,-0.07212429
0.7516451,-0.07829962
0.7705608,-0.08424854
0.7886731,-0.08993868
0.8059636,-0.09536433
0.8224218,-0.1005342
0.8380446,-0.1054585
0.8528357,-0.1101501
0.8668038,-0.1146243
0.879964,-0.1188889
0.8923426,-0.1229132
0.9039968,-0.1265118
0.9149071,-0.1299424
0.925084,-0.1332065
0.934371,-0.1362457
0.9428667,-0.139083
0.9506525,-0.1417369
0.9577968,-0.1442256
0.9643588,-0.1465609
0.9703266,-0.148731
0.974836,-0.1504027
0.9782437,-0.1516863
0.980819,-0.1526701
0.9827655,-0.1534219
0.9842367,-0.1539957
0.9853487,-0.1544329
0.9861892,-0.1547662
0.9868246,-0.1550191
0.987305,-0.155211
0.9872669,-0.1558996
0.9872288,-0.1565881
0.9871907,-0.1572767
0.9871526,-0.1579653
0.9871144,-0.1586538
0.9870763,-0.1593424
0.9870382,-0.1600309
0.9870001,-0.1607195
0.9865065,-0.1606183
0.9858535,-0.1604854
0.9849898,-0.1603109
0.9838473,-0.1600837
0.9823359,-0.1597873
0.9803361,-0.1594044
0.9776902,-0.1589112
0.9741885,-0.1582832
0.9695535,-0.1574946
0.9634171,-0.1565226
0.9566664,-0.1555461
0.9493132,-0.1545887
0.9412963,-0.1536633
0.9325452,-0.1527807
0.9229766,-0.1519471
0.9124903,-0.1511693
0.9012495,-0.1504674
0.8892443,-0.1498728
0.8764446,-0.1496328
0.862837,-0.1495248
0.8484054,-0.149523
0.8331383,-0.1496228
0.8170299,-0.1498206
0.8000803,-0.1501074
0.7822969,-0.1504677
0.763695,-0.1508768
0.744298,-0.1512967
0.7241381,-0.1516636
0.7032563,-0.1518791
0.6817024,-0.1518335
0.6595341,-0.151437
0.6368172,-0.1506161
0.6136253,-0.1493228
0.5900389,-0.1475512
0.5661446,-0.145342
0.542034,-0.1427762
0.5178024,-0.1399406
0.493548,-0.1369098
0.4693702,-0.1337505
0.4453698,-0.130531
0.4216468,-0.1273253
0.3982989,-0.1242088
0.3754188,-0.1212213
0.3530913,-0.1183648
0.3313912,-0.115633
0.3103812,-0.113016
0.2901115,-0.1105084
0.2706208,-0.108107
0.2519387,-0.1057944
0.2340872,-0.1034451
0.2170814,-0.100925
0.2009288,-0.09818944
0.1856298,-0.09524313
0.1711784,-0.09211884
0.1575623,-0.08885933
0.1447641,-0.08550701
0.1327627,-0.08209907
0.1215332,-0.07866816
0.1110479,-0.07524198
0.1012768,-0.07184352
0.09218831,-0.06849254
0.08374944,-0.06520575
0.07592827,-0.06198962
0.06869098,-0.05885593
0.06200569,-0.05580625
0.05583968,-0.05284709
0.05016165,-0.04997935
0.04494127,-0.04720452
0.04014883,-0.04452282
0.03575634,-0.04193431
0.03173678,-0.03943684
0.02806396,-0.03703242
0.02471535,-0.0347128
0.02166522,-0.03248542
0.01889666,-0.03033574
0.01638483,-0.02827246
0.0141145,-0.02628721
0.01206988,-0.02437195
0.01022897,-0.02253833
0.008584637,-0.0207699
0.007121651,-0.01906498
0.005821456,-0.01743468
0.004682433,-0.01586312
0.003692978,-0.01434816
0.002832389,-0.0129052
0.002102153,-0.01152347
0.001499538,-0.01019752
0.001001196,-0.008939702
0.000599539,-0.007753329
0.0002926026,-0.006635529
7.493074e-05,-0.005586951
-7.21481e-05,-0.004611789
-0.0001622029,-0.003712012
-0.0002041523,-0.002885835
-0.0002058817,-0.002130752
-0.0001734062,-0.001428451
-0.0001067884,-0.0007329852
