eta,twist
0,0.1476063
0.01010101,0.1448271
0.02020202,0.1371011
0.03030303,0.1232107
0.04040404,0.09858464
0.05050505,-0.03011693
0.06060606,-0.1567098
0.07070707,-0.2985058
0.08080808,-0.4316263
0.09090909,-0.5670527
0.1010101,-0.7355115
0.1111111,-0.918106
0.1212121,-1.096922
0.1313131,-1.272597
0.1414141,-1.450479
0.1515152,-1.635896
0.1616162,-1.824693
0.1717172,-2.007461
0.1818182,-2.193838
0.1919192,-2.372514
0.2020202,-2.549474
0.2121212,-2.725776
0.2222222,-2.902804
0.2323232,-3.083179
0.2424242,-3.231725
0.2525253,-3.385058
0.2626263,-3.53207
0.2727273,-3.713367
0.2828283,-3.845606
0.2929293,-3.956907
0.3030303,-4.065485
0.3131313,-4.182468
0.3232323,-4.301894
0.3333333,-4.386322
0.3434343,-4.472661
0.3535354,-4.556848
0.3636364,-4.653136
0.3737374,-4.733312
0.3838384,-4.803312
0.3939394,-4.864703
0.4040404,-4.948889
0.4141414,-5.034995
0.4242424,-5.092407
0.4343434,-5.158945
0.4444444,-5.218286
0.4545455,-5.297696
0.4646465,-5.365041
0.4747475,-5.452527
0.4848485,-5.561431
0.4949495,-5.638274
0.5050505,-5.706208
0.5151515,-5.797381
0.5252525,-5.898868
0.5353535,-5.963029
0.5454545,-6.044408
0.5555556,-6.120387
0.5656566,-6.227359
0.5757576,-6.297894
0.5858586,-6.376774
0.5959596,-6.440653
0.6060606,-6.540659
0.6161616,-6.612012
0.6262626,-6.692733
0.6363636,-6.745461
0.6464646,-6.8096
0.6565657,-6.84935
0.6666667,-6.928086
0.6767677,-7.02804
0.6868687,-7.08724
0.6969697,-7.118415
0.7070707,-7.211827
0.7171717,-7.27461
0.7272727,-7.356248
0.7373737,-7.408164
0.7474747,-7.503828
0.7575758,-7.570528
0.7676768,-7.683615
0.7777778,-7.763784
0.7878788,-7.865372
0.7979798,-7.944015
0.8080808,-8.075971
0.8181818,-8.17283
0.8282828,-8.355355
0.8383838,-8.445319
0.8484848,-8.562883
0.8585859,-8.671711
0.8686869,-8.81336
0.8787879,-8.920637
0.8888889,-9.031058
0.8989899,-9.170444
0.9090909,-9.29336
0.9191919,-9.424332
0.9292929,-9.538319
0.9393939,-9.663352
0.9494949,-9.79327
0.959596,-9.93357
0.969697,-10.16205
0.979798,-10.32059
0.989899,-10.50179
1,-11.26615
