eta,lift
0,2.542597
0.01010101,2.521982
0.02020202,2.514874
0.03030303,2.504064
0.04040404,2.491139
0.05050505,2.489492
0.06060606,2.476526
0.07070707,2.453826
0.08080808,2.431442
0.09090909,2.409131
0.1010101,2.392984
0.1111111,2.378324
0.1212121,2.360474
0.1313131,2.339751
0.1414141,2.317743
0.1515152,2.291445
0.1616162,2.265289
0.1717172,2.234525
0.1818182,2.20374
0.1919192,2.170504
0.2020202,2.136229
0.2121212,2.100788
0.2222222,2.06338
0.2323232,2.025906
0.2424242,1.985342
0.2525253,1.945225
0.2626263,1.902215
0.2727273,1.85909
0.2828283,1.814386
0.2929293,1.76871
0.3030303,1.722643
0.3131313,1.675095
0.3232323,1.628013
0.3333333,1.579115
0.3434343,1.5309
0.3535354,1.481579
0.3636364,1.432584
0.3737374,1.383232
0.3838384,1.333862
0.3939394,1.284783
0.4040404,1.235638
0.4141414,1.187164
0.4242424,1.138818
0.4343434,1.091265
0.4444444,1.044321
0.4545455,0.9981545
0.4646465,0.9528481
0.4747475,0.9083519
0.4848485,0.8646364
0.4949495,0.8217012
0.5050505,0.7796181
0.5151515,0.7384014
0.5252525,0.6979492
0.5353535,0.6581847
0.5454545,0.619241
0.5555556,0.5811722
0.5656566,0.5439101
0.5757576,0.5071276
0.5858586,0.4711562
0.5959596,0.4359161
0.6060606,0.40148
0.6161616,0.3674529
0.6262626,0.3341332
0.6363636,0.301183
0.6464646,0.2688706
0.6565657,0.2373323
0.6666667,0.2065982
0.6767677,0.1768036
0.6868687,0.1479424
0.6969697,0.1207388
0.7070707,0.09502744
0.7171717,0.07066298
0.7272727,0.04757233
0.7373737,0.02629929
0.7474747,0.006656392
0.7575758,-0.01103812
0.7676768,-0.02715455
0.7777778,-0.04139909
0.7878788,-0.05428957
0.7979798,-0.06459483
0.8080808,-0.07352944
0.8181818,-0.08036455
0.8282828,-0.08636442
0.8383838,-0.08940282
0.8484848,-0.09180713
0.8585859,-0.09102382
0.8686869,-0.08971244
0.8787879,-0.08622832
0.8888889,-0.08154195
0.8989899,-0.07475899
0.9090909,-0.06654323
0.9191919,-0.05737456
0.9292929,-0.04664532
0.9393939,-0.03585992
0.9494949,-0.02387673
0.959596,-0.01152311
0.969697,0.001276224
0.979798,0.01182423
0.989899,0.01597975
1,0.00000003879713
