eta,twist
0,0.03910614
0.01010101,0.03221695
0.02020202,0.03061205
0.03030303,0.03097343
0.04040404,0.03409106
0.05050505,0.05808951
0.06060606,0.0752382
0.07070707,0.08608317
0.08080808,0.1062182
0.09090909,0.1267015
0.1010101,0.1482292
0.1111111,0.1703106
0.1212121,0.1934919
0.1313131,0.2177574
0.1414141,0.2438829
0.1515152,0.275221
0.1616162,0.3071357
0.1717172,0.3485223
0.1818182,0.3911541
0.1919192,0.4397226
0.2020202,0.4917886
0.2121212,0.5500262
0.2222222,0.6175204
0.2323232,0.6877591
0.2424242,0.7701934
0.2525253,0.8542804
0.2626263,0.9546722
0.2727273,1.059763
0.2828283,1.174212
0.2929293,1.296201
0.3030303,1.424319
0.3131313,1.562524
0.3232323,1.704079
0.3333333,1.852949
0.3434343,2.005083
0.3535354,2.162535
0.3636364,2.323854
0.3737374,2.486868
0.3838384,2.65221
0.3939394,2.818733
0.4040404,2.984543
0.4141414,3.182615
0.4242424,3.344077
0.4343434,3.509438
0.4444444,3.663268
0.4545455,3.820104
0.4646465,3.967738
0.4747475,4.114953
0.4848485,4.256512
0.4949495,4.394775
0.5050505,4.530279
0.5151515,4.660191
0.5252525,4.790293
0.5353535,4.914243
0.5454545,5.040111
0.5555556,5.158241
0.5656566,5.279753
0.5757576,5.396214
0.5858586,5.516116
0.5959596,5.631247
0.6060606,5.748851
0.6161616,5.865371
0.6262626,5.984481
0.6363636,6.104578
0.6464646,6.227717
0.6565657,6.348385
0.6666667,6.469806
0.6767677,6.589129
0.6868687,6.708729
0.6969697,6.819361
0.7070707,6.924165
0.7171717,7.024573
0.7272727,7.160305
0.7373737,7.24954
0.7474747,7.332815
0.7575758,7.407154
0.7676768,7.47675
0.7777778,7.539585
0.7878788,7.600428
0.7979798,7.64603
0.8080808,7.686905
0.8181818,7.723419
0.8282828,7.760717
0.8383838,7.782144
0.8484848,7.802246
0.8585859,7.80722
0.8686869,7.810947
0.8787879,7.8105
0.8888889,7.801188
0.8989899,7.776973
0.9090909,7.749009
0.9191919,7.717966
0.9292929,7.67663
0.9393939,7.629754
0.9494949,7.556779
0.959596,7.479102
0.969697,7.395876
0.979798,7.300308
0.989899,7.181209
1,66.90824
