eta,twist
0.000000000000000000e+00,1.158122000000000040e-01
1.010101000000000054e-02,1.192223000000000033e-01
2.020202000000000109e-02,1.203774999999999984e-01
3.030303000000000163e-02,1.156364000000000003e-01
4.040404000000000218e-02,1.050278999999999935e-01
5.050505000000000272e-02,9.291320999999999608e-02
6.060606000000000326e-02,8.001961999999999964e-02
7.070706999999999687e-02,4.446357000000000087e-02
8.080808000000000435e-02,-1.606025000000000074e-03
9.090908999999999796e-02,-3.862946999999999909e-02
1.010101000000000054e-01,-6.671816999999999331e-02
1.111111000000000043e-01,-9.783442000000000527e-02
1.212121000000000032e-01,-1.356866999999999934e-01
1.313130999999999882e-01,-1.741294999999999926e-01
1.414140999999999870e-01,-2.154888000000000081e-01
1.515151999999999888e-01,-2.575085999999999764e-01
1.616161999999999876e-01,-3.046738999999999975e-01
1.717171999999999865e-01,-3.532294000000000267e-01
1.818182000000000131e-01,-4.012741000000000224e-01
1.919192000000000120e-01,-4.749817000000000067e-01
2.020202000000000109e-01,-5.251377999999999879e-01
2.121212000000000097e-01,-5.767879000000000200e-01
2.222222000000000086e-01,-6.280318999999999763e-01
2.323232000000000075e-01,-6.801247999999999738e-01
2.424242000000000063e-01,-7.325234000000000467e-01
2.525253000000000081e-01,-7.858994000000000257e-01
2.626262999999999792e-01,-8.393093999999999832e-01
2.727273000000000058e-01,-8.938749000000000278e-01
2.828282999999999769e-01,-9.494091999999999532e-01
2.929293000000000036e-01,-1.002456000000000014e+00
3.030302999999999747e-01,-1.056654999999999900e+00
3.131313000000000013e-01,-1.111838000000000104e+00
3.232322999999999724e-01,-1.169394999999999962e+00
3.333332999999999990e-01,-1.224067000000000016e+00
3.434343000000000257e-01,-1.277741999999999933e+00
3.535353999999999997e-01,-1.331700000000000106e+00
3.636364000000000263e-01,-1.387982000000000049e+00
3.737373999999999974e-01,-1.443475000000000064e+00
3.838384000000000240e-01,-1.498264000000000040e+00
3.939393999999999951e-01,-1.553045999999999927e+00
4.040404000000000218e-01,-1.607474000000000069e+00
4.141413999999999929e-01,-1.662992000000000026e+00
4.242424000000000195e-01,-1.716974999999999918e+00
4.343433999999999906e-01,-1.773306000000000049e+00
4.444444000000000172e-01,-1.825669999999999904e+00
4.545454999999999912e-01,-1.878943000000000030e+00
4.646465000000000178e-01,-1.931270999999999960e+00
4.747474999999999890e-01,-1.986051000000000011e+00
4.848485000000000156e-01,-2.038616000000000206e+00
4.949494999999999867e-01,-2.091327000000000158e+00
5.050504999999999578e-01,-2.142291000000000167e+00
5.151514999999999844e-01,-2.194843999999999795e+00
5.252525000000000110e-01,-2.246360000000000134e+00
5.353535000000000377e-01,-2.297914000000000012e+00
5.454544999999999533e-01,-2.347690000000000055e+00
5.555556000000000383e-01,-2.397459000000000007e+00
5.656565999999999539e-01,-2.446817999999999937e+00
5.757575999999999805e-01,-2.497974000000000139e+00
5.858586000000000071e-01,-2.547394000000000158e+00
5.959596000000000338e-01,-2.594002000000000141e+00
6.060605999999999494e-01,-2.640556000000000125e+00
6.161615999999999760e-01,-2.691162999999999972e+00
6.262626000000000026e-01,-2.739952999999999861e+00
6.363636000000000292e-01,-2.782877000000000045e+00
6.464645999999999448e-01,-2.824962999999999891e+00
6.565657000000000298e-01,-2.868930999999999898e+00
6.666666999999999454e-01,-2.912755999999999901e+00
6.767676999999999721e-01,-2.957612000000000130e+00
6.868686999999999987e-01,-3.000128999999999824e+00
6.969697000000000253e-01,-3.039785999999999877e+00
7.070707000000000519e-01,-3.079585999999999935e+00
7.171716999999999675e-01,-3.122231000000000201e+00
7.272726999999999942e-01,-3.161024999999999974e+00
7.373737000000000208e-01,-3.196096999999999966e+00
7.474747000000000474e-01,-3.230256999999999934e+00
7.575758000000000214e-01,-3.266234999999999999e+00
7.676768000000000480e-01,-3.300380000000000091e+00
7.777777999999999636e-01,-3.335040999999999922e+00
7.878787999999999903e-01,-3.364386000000000099e+00
7.979798000000000169e-01,-3.393946000000000129e+00
8.080808000000000435e-01,-3.424208999999999836e+00
8.181817999999999591e-01,-3.455192999999999959e+00
8.282827999999999857e-01,-3.476862000000000119e+00
8.383838000000000124e-01,-3.498321999999999932e+00
8.484848000000000390e-01,-3.521322000000000063e+00
8.585859000000000130e-01,-3.543269000000000002e+00
8.686869000000000396e-01,-3.564709000000000128e+00
8.787878999999999552e-01,-3.580585999999999824e+00
8.888888999999999818e-01,-3.594844000000000150e+00
8.989899000000000084e-01,-3.610670999999999964e+00
9.090909000000000351e-01,-3.626135999999999804e+00
9.191918999999999507e-01,-3.636636999999999897e+00
9.292928999999999773e-01,-3.646757000000000026e+00
9.393939000000000039e-01,-3.657086000000000059e+00
9.494949999999999779e-01,-3.671326000000000089e+00
9.595960000000000045e-01,-3.685236000000000178e+00
9.696970000000000312e-01,-3.691930999999999852e+00
9.797979999999999468e-01,-3.694471000000000060e+00
9.898989999999999734e-01,-3.698360999999999787e+00
1.000000000000000000e+00,-5.377261999999999986e+00
