eta,twist
0.000000000000000000e+00,-2.754710000000000145e-02
1.010101000000000054e-02,-2.871256000000000155e-02
2.020202000000000109e-02,-2.866528000000000131e-02
3.030303000000000163e-02,-2.598815999999999973e-02
4.040404000000000218e-02,-2.044692000000000037e-02
5.050505000000000272e-02,-1.420005000000000052e-02
6.060606000000000326e-02,-7.643060999999999605e-03
7.070706999999999687e-02,6.463095999999999772e-03
8.080808000000000435e-02,2.411951999999999846e-02
9.090908999999999796e-02,3.383277999999999980e-02
1.010101000000000054e-01,3.562687999999999966e-02
1.111111000000000043e-01,3.937336000000000308e-02
1.212121000000000032e-01,4.725954000000000266e-02
1.313130999999999882e-01,5.518097000000000280e-02
1.414140999999999870e-01,6.237659999999999733e-02
1.515151999999999888e-01,6.968633000000000466e-02
1.616161999999999876e-01,7.872896999999999534e-02
1.717171999999999865e-01,8.799020000000000452e-02
1.818182000000000131e-01,9.618230999999999309e-02
1.919192000000000120e-01,1.040226999999999957e-01
2.020202000000000109e-01,1.122205000000000008e-01
2.121212000000000097e-01,1.206789999999999946e-01
2.222222000000000086e-01,1.291747000000000034e-01
2.323232000000000075e-01,1.374856999999999885e-01
2.424242000000000063e-01,1.458491000000000093e-01
2.525253000000000081e-01,1.537911999999999890e-01
2.626262999999999792e-01,1.619389999999999996e-01
2.727273000000000058e-01,1.708308000000000049e-01
2.828282999999999769e-01,1.798798000000000064e-01
2.929293000000000036e-01,1.874811000000000116e-01
3.030302999999999747e-01,1.948413999999999979e-01
3.131313000000000013e-01,2.034486000000000072e-01
3.232322999999999724e-01,2.126899999999999902e-01
3.333332999999999990e-01,2.208492999999999984e-01
3.434343000000000257e-01,2.277779000000000054e-01
3.535353999999999997e-01,2.354764000000000024e-01
3.636364000000000263e-01,2.443875000000000075e-01
3.737373999999999974e-01,2.530345999999999984e-01
3.838384000000000240e-01,2.596495999999999804e-01
3.939393999999999951e-01,2.664990999999999888e-01
4.040404000000000218e-01,2.742936999999999736e-01
4.141413999999999929e-01,2.822440999999999978e-01
4.242424000000000195e-01,2.892040000000000166e-01
4.343433999999999906e-01,2.961115999999999748e-01
4.444444000000000172e-01,3.029159000000000157e-01
4.545454999999999912e-01,3.097372999999999932e-01
4.646465000000000178e-01,3.162237999999999993e-01
4.747474999999999890e-01,3.224777999999999811e-01
4.848485000000000156e-01,3.285701999999999789e-01
4.949494999999999867e-01,3.345069999999999988e-01
5.050504999999999578e-01,3.402436999999999823e-01
5.151514999999999844e-01,3.455353999999999925e-01
5.252525000000000110e-01,3.506874999999999853e-01
5.353535000000000377e-01,3.554808999999999886e-01
5.454544999999999533e-01,3.604003000000000068e-01
5.555556000000000383e-01,3.652056000000000191e-01
5.656565999999999539e-01,3.697345000000000215e-01
5.757575999999999805e-01,3.731342000000000270e-01
5.858586000000000071e-01,3.766176999999999997e-01
5.959596000000000338e-01,3.799408000000000230e-01
6.060605999999999494e-01,3.833138999999999852e-01
6.161615999999999760e-01,3.862504999999999966e-01
6.262626000000000026e-01,3.889202999999999966e-01
6.363636000000000292e-01,3.902058999999999944e-01
6.464645999999999448e-01,3.914387999999999757e-01
6.565657000000000298e-01,3.919472999999999985e-01
6.666666999999999454e-01,3.924611000000000072e-01
6.767676999999999721e-01,3.928069000000000144e-01
6.868686999999999987e-01,3.928475000000000161e-01
6.969697000000000253e-01,3.917889999999999984e-01
7.070707000000000519e-01,3.906746999999999859e-01
7.171716999999999675e-01,3.893081999999999931e-01
7.272726999999999942e-01,3.873299000000000047e-01
7.373737000000000208e-01,3.843404000000000265e-01
7.474747000000000474e-01,3.807474000000000136e-01
7.575758000000000214e-01,3.763829000000000202e-01
7.676768000000000480e-01,3.718547999999999853e-01
7.777777999999999636e-01,3.671267999999999754e-01
7.878787999999999903e-01,3.610800000000000121e-01
7.979798000000000169e-01,3.543401999999999941e-01
8.080808000000000435e-01,3.474683000000000077e-01
8.181817999999999591e-01,3.403186999999999740e-01
8.282827999999999857e-01,3.319523999999999808e-01
8.383838000000000124e-01,3.231194000000000011e-01
8.484848000000000390e-01,3.132518000000000247e-01
8.585859000000000130e-01,3.033237999999999768e-01
8.686869000000000396e-01,2.933881999999999879e-01
8.787878999999999552e-01,2.824858000000000091e-01
8.888888999999999818e-01,2.708423999999999832e-01
8.989899000000000084e-01,2.898356000000000265e-01
9.090909000000000351e-01,2.789923999999999737e-01
9.191918999999999507e-01,2.680659000000000236e-01
9.292928999999999773e-01,2.568278999999999979e-01
9.393939000000000039e-01,2.452563000000000104e-01
9.494949999999999779e-01,2.338717999999999908e-01
9.595960000000000045e-01,2.240486999999999895e-01
9.696970000000000312e-01,2.196126999999999940e-01
9.797979999999999468e-01,2.152746000000000104e-01
9.898989999999999734e-01,2.142682999999999949e-01
1.000000000000000000e+00,-1.312619999999999898e+00
