x,z
1.0217716e-06,-0.00010011101
1.12728e-05,0.0004079695
4.963005e-05,0.0008435812
0.0001209199,0.001317795
0.0002317868,0.001832156
0.0003898117,0.002387856
0.0006037375,0.002984585
0.0008907113,0.003619971
0.001261486,0.00429197
0.001721586,0.005001056
0.002273378,0.005748135
0.002929967,0.006528827
0.003712165,0.007336875
0.004623215,0.008174917
0.005662055,0.00904752
0.006853101,0.009945485
0.008208127,0.01086807
0.009728511,0.01182401
0.0114347,0.01280685
0.01334408,0.01381439
0.01546314,0.01485705
0.01781623,0.01592671
0.02042017,0.01702657
0.02328934,0.01816573
0.02645177,0.01933536
0.02992454,0.02054655
0.03373539,0.02179499
0.03790853,0.02308599
0.0424715,0.02442177
0.04745433,0.02580196
0.05288713,0.02722981
0.05880323,0.02870335
0.06523642,0.03022291
0.07222182,0.0317875
0.07979609,0.03339436
0.08799542,0.03504323
0.0968578,0.03672895
0.10642,0.03844921
0.1167188,0.0401991
0.1277901,0.04197248
0.1396675,0.04376339
0.1523829,0.04556303
0.1659646,0.04736139
0.180437,0.04914759
0.1958189,0.05091296
0.2121238,0.05264538
0.229358,0.05433177
0.2475203,0.05595682
0.2666009,0.057503
0.2865806,0.05895374
0.30743,0.06029296
0.3291098,0.06149763
0.3515698,0.0625435
0.374749,0.06340707
0.398576,0.06406491
0.4229693,0.06449562
0.4478387,0.0646778
0.473086,0.0645974
0.498606,0.06424692
0.5242883,0.06362249
0.5500188,0.06272887
0.5756822,0.0615809
0.6011648,0.06019925
0.6263576,0.05860169
0.6511575,0.05681104
0.6754682,0.0548532
0.6992012,0.05275538
0.7222774,0.05054944
0.7446271,0.04828604
0.7661915,0.04605085
0.7869228,0.04389191
0.8067836,0.04182399
0.8257469,0.0398472
0.8437959,0.03795556
0.8609228,0.03614071
0.8771274,0.03439121
0.8924175,0.03269767
0.9068151,0.03108732
0.920342,0.02956215
0.9330117,0.0280609
0.9448537,0.02658258
0.9557821,0.0251391
0.9645895,0.02390797
0.9717534,0.02285239
0.9776371,0.02194358
0.9825177,0.02115696
0.9866067,0.0204728
0.9900447,0.01987781
0.9926435,0.01941447
0.994608,0.01905588
0.9960931,0.01877965
0.9972158,0.01856758
0.9980646,0.01840513
0.9987062,0.01828095
0.9991914,0.01818651
0.9995582,0.01811474
0.9998355,0.01806027
0.999839,0.01786732
0.9998425,0.01767437
0.9998461,0.01748143
0.9998496,0.01728848
0.9998531,0.01709553
0.9998566,0.01690258
0.9998601,0.01670964
0.9998636,0.01651669
0.9995818,0.01653689
0.9992091,0.0165634
0.9987162,0.0165981
0.9980643,0.01664358
0.9972021,0.01670234
0.9960618,0.01677835
0.9945537,0.01687573
0.9925589,0.01699913
0.9899206,0.01715338
0.9864308,0.01734253
0.9822809,0.01754504
0.9773288,0.01775706
0.9713606,0.01797151
0.9640965,0.0181731
0.9551705,0.01833805
0.9441029,0.01842776
0.9321214,0.01839832
0.9193166,0.01823602
0.9056638,0.01792734
0.8911485,0.01738322
0.8757526,0.01660333
0.8594629,0.01558057
0.8422755,0.0142717
0.8241936,0.01262572
0.8052285,0.01058853
0.7854003,0.00810879
0.7647387,0.00515116
0.7432834,0.00172669
0.7210824,-0.002057583
0.6981921,-0.006013072
0.6746779,-0.01004451
0.6506138,-0.01408412
0.6260814,-0.01806359
0.6011697,-0.02192275
0.5759736,-0.02561313
0.5505924,-0.02909909
0.5251274,-0.0323625
0.4996816,-0.03539118
0.4743581,-0.03816635
0.449261,-0.04067578
0.4244945,-0.04291887
0.4001612,-0.04487511
0.3763594,-0.04647984
0.3531799,-0.04769164
0.330703,-0.04850723
0.3089962,-0.04895246
0.2881138,-0.04907733
0.2680966,-0.04893307
0.2489745,-0.04854868
0.2307669,-0.04794274
0.213484,-0.04714407
0.1971275,-0.04618244
0.1816917,-0.0450862
0.1671634,-0.04388304
0.1535239,-0.04259664
0.1407496,-0.04124682
0.1288125,-0.0398506
0.1176818,-0.03842209
0.1073239,-0.03697396
0.09770349,-0.0355177
0.08878375,-0.03406362
0.08052869,-0.03261531
0.07290072,-0.03118086
0.06586401,-0.02976248
0.05938252,-0.02836447
0.05342107,-0.02699076
0.04794675,-0.02564132
0.04292601,-0.02432107
0.03832913,-0.0230284
0.03412529,-0.02176763
0.03028732,-0.02053776
0.02678927,-0.01933882
0.0236044,-0.01817434
0.02071395,-0.01703741
0.01809031,-0.01593688
0.01571894,-0.01486462
0.01358,-0.01382199
0.01165188,-0.01281377
0.009927884,-0.01182978
0.008387107,-0.01087558
0.007013548,-0.0099536
0.005805608,-0.009055374
0.004747094,-0.008184419
0.003817949,-0.007347418
0.003020589,-0.00653881
0.002350539,-0.005757192
0.001782356,-0.005010064
0.001309483,-0.004300009
0.0009292736,-0.003626305
0.0006358958,-0.002989125
0.0004136562,-0.002390769
0.0002482736,-0.001833849
0.0001314242,-0.001318628
5.547802e-05,-0.0008438611
1.368591e-05,-0.0004079805
