x,z,cp
2.452345e-06,-6.816207e-05,0.6604782
9.302223e-07,0.0004643177,0.6022664
3.462236e-05,0.000961766,0.5454152
0.000107519,0.001504318,0.4789253
0.0002272262,0.002093197,0.402523
0.000402264,0.002729541,0.3162233
0.000644975,0.003411643,0.2181378
0.0009736923,0.004136545,0.1178263
0.001395255,0.004902199,0.02523838
0.001912945,0.005709493,-0.06415115
0.002530183,0.006556344,-0.1648292
0.003272969,0.007433295,-0.267193
0.004147194,0.00834079,-0.3485131
0.005152239,0.009283729,-0.4221861
0.006301308,0.0102546,-0.5010208
0.007614412,0.01125108,-0.5717507
0.009092852,0.01227419,-0.6293163
0.01074857,0.01332745,-0.6844911
0.01260365,0.01440331,-0.7337649
0.0146648,0.01551003,-0.7749027
0.01694959,0.01664208,-0.8130234
0.01947871,0.01779747,-0.8419886
0.0222631,0.01898706,-0.8643481
0.02532906,0.02020469,-0.8833011
0.02869418,0.02145507,-0.8963527
0.03238153,0.02274091,-0.9057504
0.03641603,0.02405913,-0.9105057
0.04082075,0.02541802,-0.9110288
0.04562693,0.02681663,-0.9087925
0.05085884,0.02825924,-0.9046568
0.05655058,0.02974112,-0.89903
0.06273115,0.03126761,-0.8914919
0.06943509,0.03283437,-0.8819321
0.07669554,0.03444687,-0.8699714
0.08454636,0.03610309,-0.8566513
0.0930224,0.0378018,-0.8422756
0.1021566,0.03954669,-0.8280548
0.1119871,0.04133024,-0.8152144
0.1225442,0.04315345,-0.8043667
0.1338605,0.04501326,-0.7964241
0.1459647,0.04690466,-0.7917214
0.1588864,0.04882103,-0.7900161
0.1726474,0.05075443,-0.7905851
0.1872683,0.05269719,-0.7927137
0.2027622,0.05463596,-0.7954427
0.2191381,0.0565601,-0.797458
0.2363969,0.05845701,-0.7976475
0.254532,0.06030925,-0.7943848
0.2735281,0.06210614,-0.7862349
0.293361,0.06383729,-0.7732813
0.3139982,0.06549006,-0.7568323
0.335397,0.06704462,-0.738534
0.3575051,0.06848062,-0.719554
0.3802604,0.06978195,-0.7006625
0.4035918,0.07093378,-0.682196
0.4274192,0.0719228,-0.6639711
0.4516548,0.0727372,-0.645519
0.4762042,0.07336354,-0.6262197
0.5009674,0.07379141,-0.6054746
0.52584,0.07401196,-0.5828859
0.5507155,0.07402175,-0.5582795
0.5754872,0.07382461,-0.531942
0.6000506,0.07342459,-0.5045244
0.6243063,0.07281889,-0.4757853
0.6481591,0.07201928,-0.4451729
0.6715262,0.07103135,-0.4125068
0.6943281,0.06987249,-0.3777337
0.7164913,0.06856846,-0.3415847
0.7379539,0.0671565,-0.3050354
0.7586613,0.06569988,-0.2701382
0.7785678,0.06424891,-0.2400241
0.7976424,0.06281791,-0.2152807
0.81586,0.06143387,-0.1950641
0.8332096,0.06006228,-0.1773666
0.8496827,0.05871526,-0.1598634
0.8652823,0.05738816,-0.1423043
0.8800156,0.05608247,-0.1250871
0.8938976,0.05478859,-0.106229
0.9069578,0.0535817,-0.08769382
0.9192176,0.05243023,-0.07401506
0.9306929,0.05129021,-0.06134725
0.9413613,0.05016125,-0.04496059
0.9507128,0.04910914,-0.02603256
0.9589706,0.0481286,-0.007353663
0.9663151,0.04721084,0.009935
0.9728826,0.04634501,0.02644896
0.9787853,0.04552816,0.04328271
0.9840626,0.04476574,0.06055167
0.9880522,0.04417047,0.07458469
0.9910682,0.04370203,0.08390455
0.993349,0.04333878,0.09156871
0.995073,0.04306164,0.09768784
0.9963758,0.04284751,0.1020565
0.9973612,0.042682,0.1024585
0.9981061,0.04255532,0.1081192
0.9986694,0.04245897,0.1383072
0.9990953,0.04238567,0.0610127
0.9991078,0.04208784,0.01102533
0.9991204,0.04179001,0.07051805
0.999133,0.04149219,0.07702488
0.9991455,0.04119436,0.07735257
0.9991581,0.04089653,0.08967476
0.9991707,0.0405987,0.08004601
0.9991832,0.04030087,-0.05427767
0.9991958,0.04000304,0.06678207
0.9987646,0.04002771,0.2573988
0.9981944,0.04005979,0.2034024
0.9974403,0.04010168,0.200474
0.996443,0.04015536,0.2056367
0.9951229,0.04022001,0.2069872
0.9933783,0.04030319,0.2130237
0.9910717,0.04041284,0.2216566
0.9880204,0.04054357,0.2294666
0.9839835,0.04068911,0.2386431
0.9786463,0.04085859,0.2485731
0.9726769,0.04100326,0.2575578
0.9660357,0.04111362,0.2652785
0.9586142,0.04116464,0.2715054
0.9502706,0.04115126,0.277199
0.9408313,0.04106136,0.2814046
0.9300684,0.04085829,0.2846406
0.9185037,0.04053711,0.2897408
0.9061609,0.04009589,0.2922493
0.8930251,0.03944471,0.2892624
0.8790807,0.03856903,0.2859154
0.864304,0.03750992,0.2827283
0.8486852,0.03624209,0.2780924
0.8322194,0.03472909,0.2718054
0.81491,0.03293506,0.2631831
0.7967653,0.03082248,0.2513138
0.7778106,0.02838336,0.2334054
0.7580661,0.02559624,0.2066384
0.7375676,0.02249598,0.1731667
0.7163513,0.0192085,0.1386685
0.6944598,0.01588917,0.1057979
0.6719516,0.01260908,0.07529191
0.6488908,0.009420983,0.04915791
0.6253485,0.006366902,0.02876504
0.6014115,0.003472662,0.0134136
0.5771658,0.0007273041,0.0008191329
0.5527032,-0.001891018,-0.01075489
0.5281183,-0.004388712,-0.02180854
0.5035076,-0.006756567,-0.03197989
0.4789675,-0.008977033,-0.04094783
0.4545959,-0.01103527,-0.04933596
0.4304912,-0.01292499,-0.05803656
0.4067511,-0.01463934,-0.0661047
0.3834688,-0.01614636,-0.07133991
0.3607313,-0.01741782,-0.07249066
0.3386181,-0.01844676,-0.06913488
0.3171979,-0.01924409,-0.06099101
0.2965269,-0.01983385,-0.04755212
0.2766502,-0.02024486,-0.02975727
0.2576035,-0.02052606,-0.01173793
0.2394123,-0.02074995,0.002885027
0.2220928,-0.02095625,0.01360722
0.2056503,-0.02115271,0.02096635
0.190085,-0.0213349,0.02556744
0.1753894,-0.02149571,0.02831244
0.1615493,-0.02162373,0.02985512
0.1485466,-0.02171266,0.03070313
0.1363571,-0.02175498,0.03133659
0.1249557,-0.02174712,0.03196246
0.1143131,-0.02168774,0.03285043
0.104397,-0.02157355,0.03426851
0.09517361,-0.02140534,0.0360627
0.08661071,-0.02118499,0.03864241
0.07867214,-0.0209112,0.04247835
0.07132649,-0.02058379,0.04718351
0.06453798,-0.02020979,0.05384762
0.05827413,-0.01978448,0.0621456
0.05250199,-0.01931781,0.07217313
0.04719185,-0.01880804,0.08427917
0.04231125,-0.01826293,0.09935206
0.03783319,-0.01767728,0.1170691
0.03372952,-0.01706488,0.1380034
0.02997601,-0.01641915,0.1623913
0.02654629,-0.01574988,0.1887369
0.02341853,-0.01506081,0.2199178
0.02057159,-0.01434914,0.2536857
0.01798213,-0.01362612,0.2911929
0.01563618,-0.01288703,0.3328146
0.01351311,-0.01213872,0.3749203
0.01159792,-0.01138642,0.4236161
0.009881365,-0.01062175,0.4744758
0.00834048,-0.009859209,0.5231201
0.006967654,-0.009097005,0.5778596
0.005758702,-0.008330943,0.633063
0.004692037,-0.007571103,0.6818201
0.003758863,-0.006822218,0.7292135
0.00296007,-0.006079735,0.7744131
0.002285623,-0.005345317,0.8088438
0.001713897,-0.004632674,0.8322499
0.001241968,-0.003944981,0.8464373
0.0008668034,-0.003281304,0.8474905
0.0005800602,-0.002644455,0.8357955
0.000362637,-0.002041553,0.814005
0.0002040783,-0.001476422,0.7833137
9.585281e-05,-0.0009494765,0.7449897
3.00349e-05,-0.0004617197,0.7009616
