eta,lift
0,1.424207
0.01010101,1.409232
0.02020202,1.402822
0.03030303,1.40172
0.04040404,1.40173
0.05050505,1.399567
0.06060606,1.39667
0.07070707,1.392756
0.08080808,1.388389
0.09090909,1.382904
0.1010101,1.376524
0.1111111,1.372016
0.1212121,1.371822
0.1313131,1.372196
0.1414141,1.377324
0.1515152,1.382206
0.1616162,1.380843
0.1717172,1.378958
0.1818182,1.375439
0.1919192,1.371365
0.2020202,1.366989
0.2121212,1.362395
0.2222222,1.357356
0.2323232,1.351653
0.2424242,1.34566
0.2525253,1.338664
0.2626263,1.331602
0.2727273,1.323407
0.2828283,1.315173
0.2929293,1.305977
0.3030303,1.296567
0.3131313,1.286433
0.3232323,1.275917
0.3333333,1.264941
0.3434343,1.253475
0.3535354,1.241755
0.3636364,1.229457
0.3737374,1.217083
0.3838384,1.204114
0.3939394,1.191194
0.4040404,1.177577
0.4141414,1.164024
0.4242424,1.150013
0.4343434,1.135993
0.4444444,1.121748
0.4545455,1.107461
0.4646465,1.092975
0.4747475,1.078383
0.4848485,1.063765
0.4949495,1.049089
0.5050505,1.034437
0.5151515,1.019721
0.5252525,1.005123
0.5353535,0.9905721
0.5454545,0.9761376
0.5555556,0.9617333
0.5656566,0.9474259
0.5757576,0.9331153
0.5858586,0.9188828
0.5959596,0.9045805
0.6060606,0.8903614
0.6161616,0.8760797
0.6262626,0.8619595
0.6363636,0.848075
0.6464646,0.8342985
0.6565657,0.8205842
0.6666667,0.8070094
0.6767677,0.7936142
0.6868687,0.7803861
0.6969697,0.7673918
0.7070707,0.754622
0.7171717,0.7421751
0.7272727,0.7300162
0.7373737,0.7182123
0.7474747,0.7067019
0.7575758,0.695465
0.7676768,0.6846741
0.7777778,0.674159
0.7878788,0.6640279
0.7979798,0.6540305
0.8080808,0.6442908
0.8181818,0.6345831
0.8282828,0.6250777
0.8383838,0.6155138
0.8484848,0.6058308
0.8585859,0.5958734
0.8686869,0.5855948
0.8787879,0.5743262
0.8888889,0.5626275
0.8989899,0.5489735
0.9090909,0.5347454
0.9191919,0.5186019
0.9292929,0.5008312
0.9393939,0.4814976
0.949495,0.4572597
0.959596,0.428567
0.969697,0.3881213
0.979798,0.3390296
0.989899,0.3156657
1,-0.0000001188719
