eta,twist
0.0,0.08454174
0.01010101,0.07822601
0.02020202,0.07457832
0.03030303,0.07095062
0.04040404,0.06731105
0.05050505,0.06368609
0.06060606,0.06031743
0.07070707,0.05779131
0.08080808,0.06149122
0.09090909,0.06525508
0.1010101,0.06962416
0.1111111,0.07419918
0.1212121,0.08163842
0.1313131,0.09176243
0.1414141,0.1040606
0.1515152,0.1229473
0.1616162,0.1421816
0.1717172,0.1713899
0.1818182,0.2015789
0.1919192,0.2402603
0.2020202,0.283501
0.2121212,0.333039
0.2222222,0.3918481
0.2323232,0.4538468
0.2424242,0.5314223
0.2525253,0.6105554
0.2626263,0.7071947
0.2727273,0.8085216
0.2828283,0.92146
0.2929293,1.043395
0.3030303,1.171949
0.3131313,1.311409
0.3232323,1.454536
0.3333333,1.608228
0.3434343,1.765299
0.3535354,1.929086
0.3636364,2.097178
0.3737374,2.26874
0.3838384,2.444009
0.3939394,2.621405
0.4040404,2.799732
0.4141414,2.980695
0.4242424,3.157657
0.4343434,3.338914
0.4444444,3.510768
0.4545455,3.686256
0.4646465,3.854176
0.4747475,4.022589
0.4848485,4.186679
0.4949495,4.348699
0.5050505,4.509341
0.5151515,4.666041
0.5252525,4.823843
0.5353535,5.008558
0.5454545,5.164506
0.5555556,5.31501
0.5656566,5.469846
0.5757576,5.619782
0.5858586,5.774008
0.5959596,5.925824
0.6060606,6.081221
0.6161616,6.236244
0.6262626,6.394614
0.6363636,6.554181
0.6464646,6.717201
0.6565657,6.88027
0.6666667,7.045636
0.6767677,7.20793
0.6868687,7.369552
0.6969697,7.526052
0.7070707,7.679383
0.7171717,7.826235
0.7272727,7.968349
0.7373737,8.102871
0.7474747,8.232035
0.7575758,8.352451
0.7676768,8.467706
0.7777778,8.572853
0.7878788,8.673673
0.7979798,8.762739
0.8080808,8.888614
0.8181818,8.961238
0.8282828,9.032517
0.8383838,9.08774
0.8484848,9.142798
0.8585859,9.180533
0.8686869,9.216464
0.8787879,9.237914
0.8888889,9.253527
0.8989899,9.257514
0.9090909,9.251193
0.9191919,9.236076
0.9292929,9.205638
0.9393939,9.168747
0.9494949,9.112287
0.959596,9.04626
0.969697,8.964423
0.979798,8.865725
0.989899,8.749163
