eta,lift
0,1.720635
0.01010101,1.71919
0.02020202,1.727551
0.03030303,1.731753
0.04040404,1.729485
0.05050505,1.727556
0.06060606,1.721312
0.07070707,1.711339
0.08080808,1.701522
0.09090909,1.691683
0.1010101,1.684851
0.1111111,1.678943
0.1212121,1.672091
0.1313131,1.66398
0.1414141,1.65543
0.1515152,1.644525
0.1616162,1.633583
0.1717172,1.620539
0.1818182,1.607135
0.1919192,1.592776
0.2020202,1.577623
0.2121212,1.562262
0.2222222,1.54609
0.2323232,1.530029
0.2424242,1.512907
0.2525253,1.49579
0.2626263,1.478392
0.2727273,1.460738
0.2828283,1.442999
0.2929293,1.424761
0.3030303,1.406666
0.3131313,1.387948
0.3232323,1.369323
0.3333333,1.35039
0.3434343,1.331297
0.3535354,1.31213
0.3636364,1.292661
0.3737374,1.273267
0.3838384,1.253292
0.3939394,1.233585
0.4040404,1.213083
0.4141414,1.192743
0.4242424,1.172378
0.4343434,1.151919
0.4444444,1.131272
0.4545455,1.110254
0.4646465,1.089337
0.4747475,1.067997
0.4848485,1.046987
0.4949495,1.025731
0.5050505,1.004863
0.5151515,0.9835867
0.5252525,0.9625832
0.5353535,0.9416244
0.5454545,0.920684
0.5555556,0.8999591
0.5656566,0.8791509
0.5757576,0.8586648
0.5858586,0.8381152
0.5959596,0.8178981
0.6060606,0.7975296
0.6161616,0.7776996
0.6262626,0.7580329
0.6363636,0.7389302
0.6464646,0.7201596
0.6565657,0.7018438
0.6666667,0.6835651
0.6767677,0.6657111
0.6868687,0.647776
0.6969697,0.6302176
0.7070707,0.6121823
0.7171717,0.5945432
0.7272727,0.5766757
0.7373737,0.5591778
0.7474747,0.5413353
0.7575758,0.5238176
0.7676768,0.5059377
0.7777778,0.4883737
0.7878788,0.4706091
0.7979798,0.4530771
0.8080808,0.4352245
0.8181818,0.4176503
0.8282828,0.400059
0.8383838,0.3826165
0.8484848,0.3652127
0.8585859,0.3477066
0.8686869,0.330377
0.8787879,0.3128297
0.8888889,0.2956191
0.8989899,0.2779988
0.9090909,0.2605092
0.9191919,0.2428459
0.9292929,0.2252891
0.9393939,0.2080326
0.9494949,0.190689
0.959596,0.1721969
0.969697,0.1504268
0.979798,0.1243647
0.989899,0.08662262
1,-0.000004489999
